scenario,lr,year,solarPV,windon,windoff
scenario_min_avg_avg,LR3_5,2040,1179438.341794796,403237.5022309187,98403.96377349358
scenario_min_avg_high,LR3_5,2030,598352.545223885,297382.5,41596.5
scenario_min_avg_high,LR3_5,2040,1179438.341794796,403237.5022309188,98403.96377349345
scenario_min_high_min,LR3_5,2030,598352.5452238849,297382.5,41596.5
scenario_min_high_min,LR3_5,2040,1179044.039830048,407987.9752942742,96988.51028896894
scenario_min_high_avg,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_avg,LR3_5,2040,1178259.952396223,408310.0259740753,96988.51028896899
scenario_min_high_high,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_high,LR3_5,2040,1178259.952396223,408310.0259740755,96988.51028896887
scenario_avg_min_min,LR3_5,2030,598352.545223885,297382.5,41596.5
scenario_avg_min_min,LR3_5,2040,1193452.971859719,400753.4413397819,99976.69791077758
scenario_avg_min_avg,LR3_5,2030,598352.545223885,297382.5,41596.5
scenario_avg_min_avg,LR3_5,2040,1193466.609673547,400919.4581391111,99976.6979107778
scenario_avg_min_high,LR3_5,2030,598352.545223885,297382.5,41596.5
scenario_avg_min_high,LR3_5,2040,1193481.811633509,401106.393899712,99976.69791077782
scenario_avg_avg_min,LR3_5,2030,598352.5452238849,297382.5,41596.5
scenario_avg_avg_min,LR3_5,2040,1192673.976649818,403260.9834329492,98403.96377349347
scenario_avg_avg_avg,LR3_5,2030,598352.5452238849,297382.5,41596.5
scenario_avg_avg_avg,LR3_5,2040,1192755.899272158,403420.8931346412,98403.96377349348
scenario_avg_avg_high,LR3_5,2030,598352.545223885,297382.5,41596.5
scenario_avg_avg_high,LR3_5,2040,1192755.899272157,403420.8931346412,98403.96377349345
scenario_avg_high_min,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_min,LR3_5,2040,1173340.176657181,408677.8885111958,96988.51028896902
scenario_avg_high_avg,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_avg,LR3_5,2040,1173340.176657182,408835.2383930568,96988.51028896893
scenario_avg_high_high,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_high,LR3_5,2040,1173340.176657182,408835.238393057,96988.51028896893
scenario_high_min_min,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_min,LR3_5,2040,1188368.792412865,403054.805536331,99976.69791077767
scenario_high_min_avg,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_avg,LR3_5,2040,1188368.792412861,403213.7601700865,99976.6979107778
scenario_high_min_high,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_min_high,LR3_5,2040,1188368.792412864,403213.7601700865,99976.6979107778
scenario_high_avg_min,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_min,LR3_5,2040,1190880.979734115,405382.6270001289,98403.9637734933
scenario_high_avg_avg,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_avg,LR3_5,2040,1190908.358822162,405543.8692922932,98403.96377349348
scenario_high_avg_high,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_high,LR3_5,2040,1190908.358822284,405543.8692922873,98403.96377349348
scenario_high_high_min,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_min,LR3_5,2040,1177234.849830847,409121.6869640037,97950.08703021416
scenario_high_high_avg,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_avg,LR3_5,2040,1177286.107784739,409121.6869640037,98051.4504671915
scenario_high_high_high,LR3_5,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_high,LR3_5,2040,1177286.107784747,409121.6869640037,98051.45046719155
scenario_min_min_min,LR4,2030,598352.545223885,297382.5,41596.5
scenario_min_min_min,LR4,2040,1185529.398144523,398786.2734914311,99976.69791077782
scenario_min_min_avg,LR4,2030,598352.545223885,297382.5,41596.5
scenario_min_min_avg,LR4,2040,1185385.25870174,399056.7884135976,99976.69791077785
scenario_min_min_high,LR4,2030,598352.545223885,297382.5,41596.5
scenario_min_min_high,LR4,2040,1185385.258701693,399056.7884136018,99976.6979107778
scenario_min_avg_min,LR4,2030,598352.545223885,297382.5,41596.5
scenario_min_avg_min,LR4,2040,1194943.811805977,401887.7740070596,97419.81967551833
scenario_min_avg_avg,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_avg,LR4,2040,1194943.811805977,400957.7399951426,98198.24836010867
scenario_min_avg_high,LR4,2030,598352.545223885,297382.5,41596.5
scenario_min_avg_high,LR4,2040,1194943.811805977,400957.7399951426,98198.24836010864
scenario_min_high_min,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_min,LR4,2040,1187429.503928134,405569.8906872786,96988.51028896903
scenario_min_high_avg,LR4,2030,598352.545223885,297382.5,41596.5
scenario_min_high_avg,LR4,2040,1190769.196318286,405596.6248514781,96988.51028896916
scenario_min_high_high,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_high,LR4,2040,1190769.196318287,405596.6248514783,96988.51028896903
scenario_avg_min_min,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_min,LR4,2040,1194266.586022603,399506.9782361689,99976.69791077769
scenario_avg_min_avg,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_avg,LR4,2040,1194279.114279289,399690.5986217028,99976.69791077772
scenario_avg_min_high,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_high,LR4,2040,1194279.114279311,399690.5986217013,99976.6979107777
scenario_avg_avg_min,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_min,LR4,2040,1196934.626893717,403207.235980486,97419.81967551832
scenario_avg_avg_avg,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_avg,LR4,2040,1196481.007935369,401629.3800059084,98537.86965641304
scenario_avg_avg_high,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_high,LR4,2040,1195569.114121907,402353.3202991944,98198.24836010866
scenario_avg_high_min,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_min,LR4,2040,1177335.713836838,407181.2381141136,96988.51028896893
scenario_avg_high_avg,LR4,2030,598352.5452238852,297382.5,41596.5
scenario_avg_high_avg,LR4,2040,1177443.285058368,407352.306597776,96988.51028896894
scenario_avg_high_high,LR4,2030,598352.5452238852,297382.5,41596.5
